ID,Session,BackgroundContrast,Background,Side,SmallRingIdx,Setting,logBackC,logBC,logAM
S3,4,,-50,-1,1,2,1.698970004,-1.698970004,0.301029996
S3,4,,-50,1,2,-10,1.698970004,-1.698970004,1
S3,5,,-50,-1,1,-10,1.698970004,-1.698970004,1
S3,5,,-50,1,2,-12,1.698970004,-1.698970004,1.079181246
S3,6,,-50,-1,1,-19,1.698970004,-1.698970004,1.278753601
S3,6,,-50,1,2,-12,1.698970004,-1.698970004,1.079181246
S3,7,,-50,-1,1,-8,1.698970004,-1.698970004,0.903089987
S3,7,,-50,1,2,-22,1.698970004,-1.698970004,1.342422681
S3,8,,-50,-1,1,-9,1.698970004,-1.698970004,0.954242509
S3,8,,-50,1,2,-9,1.698970004,-1.698970004,0.954242509
S3,9,,-50,-1,1,-4,1.698970004,-1.698970004,0.602059991
S3,9,,-50,1,2,-7,1.698970004,-1.698970004,0.84509804
S3,10,,-50,-1,1,0,1.698970004,-1.698970004,#NUM!
S3,10,,-50,1,2,-7,1.698970004,-1.698970004,0.84509804
S3,11,,-50,-1,1,-17,1.698970004,-1.698970004,1.230448921
S3,11,,-50,1,2,-8,1.698970004,-1.698970004,0.903089987
S3,12,,-50,-1,1,-27,1.698970004,-1.698970004,1.431363764
S3,12,,-50,1,2,-16,1.698970004,-1.698970004,1.204119983
S3,1,,-40,-1,1,-1,1.602059991,-1.602059991,0
S3,1,,-40,1,2,-9,1.602059991,-1.602059991,0.954242509
S3,2,,-40,-1,1,-26,1.602059991,-1.602059991,1.414973348
S3,2,,-40,1,2,0,1.602059991,-1.602059991,#NUM!
S3,3,,-40,-1,1,-8,1.602059991,-1.602059991,0.903089987
S3,3,,-40,1,2,-12,1.602059991,-1.602059991,1.079181246
S3,4,,-40,-1,1,-11,1.602059991,-1.602059991,1.041392685
S3,4,,-40,1,2,-19,1.602059991,-1.602059991,1.278753601
S3,5,,-40,-1,1,-2,1.602059991,-1.602059991,0.301029996
S3,5,,-40,1,2,-1,1.602059991,-1.602059991,0
S3,6,,-40,-1,1,-10,1.602059991,-1.602059991,1
S3,6,,-40,1,2,-24,1.602059991,-1.602059991,1.380211242
S3,7,,-40,-1,1,-16,1.602059991,-1.602059991,1.204119983
S3,7,,-40,1,2,-14,1.602059991,-1.602059991,1.146128036
S3,8,,-40,-1,1,-1,1.602059991,-1.602059991,0
S3,8,,-40,1,2,-4,1.602059991,-1.602059991,0.602059991
S3,9,,-40,-1,1,-15,1.602059991,-1.602059991,1.176091259
S3,9,,-40,1,2,-11,1.602059991,-1.602059991,1.041392685
S3,10,,-40,-1,1,-8,1.602059991,-1.602059991,0.903089987
S3,10,,-40,1,2,-21,1.602059991,-1.602059991,1.322219295
S3,11,,-40,-1,1,-12,1.602059991,-1.602059991,1.079181246
S3,11,,-40,1,2,-28,1.602059991,-1.602059991,1.447158031
S3,12,,-40,-1,1,2,1.602059991,-1.602059991,0.301029996
S3,12,,-40,1,2,3,1.602059991,-1.602059991,0.477121255
S3,1,,-30,-1,1,4,1.477121255,-1.477121255,0.602059991
S3,1,,-30,1,2,0,1.477121255,-1.477121255,#NUM!
S3,2,,-30,-1,1,3,1.477121255,-1.477121255,0.477121255
S3,2,,-30,1,2,-12,1.477121255,-1.477121255,1.079181246
S3,3,,-30,-1,1,-13,1.477121255,-1.477121255,1.113943352
S3,3,,-30,1,2,-9,1.477121255,-1.477121255,0.954242509
S3,4,,-30,-1,1,-3,1.477121255,-1.477121255,0.477121255
S3,4,,-30,1,2,-14,1.477121255,-1.477121255,1.146128036
S3,5,,-30,-1,1,0,1.477121255,-1.477121255,#NUM!
S3,5,,-30,1,2,-14,1.477121255,-1.477121255,1.146128036
S3,6,,-30,-1,1,-5,1.477121255,-1.477121255,0.698970004
S3,6,,-30,1,2,-2,1.477121255,-1.477121255,0.301029996
S3,7,,-30,-1,1,-5,1.477121255,-1.477121255,0.698970004
S3,7,,-30,1,2,-3,1.477121255,-1.477121255,0.477121255
S3,8,,-30,-1,1,-18,1.477121255,-1.477121255,1.255272505
S3,8,,-30,1,2,-9,1.477121255,-1.477121255,0.954242509
S3,9,,-30,-1,1,-1,1.477121255,-1.477121255,0
S3,9,,-30,1,2,-1,1.477121255,-1.477121255,0
S3,10,,-30,-1,1,-3,1.477121255,-1.477121255,0.477121255
S3,10,,-30,1,2,-13,1.477121255,-1.477121255,1.113943352
S3,11,,-30,-1,1,-10,1.477121255,-1.477121255,1
S3,11,,-30,1,2,-27,1.477121255,-1.477121255,1.431363764
S3,12,,-30,-1,1,-32,1.477121255,-1.477121255,1.505149978
S3,12,,-30,1,2,-7,1.477121255,-1.477121255,0.84509804
S3,1,,-20,-1,1,0,1.301029996,-1.301029996,#NUM!
S3,1,,-20,1,2,3,1.301029996,-1.301029996,0.477121255
S3,2,,-20,-1,1,-27,1.301029996,-1.301029996,1.431363764
S3,2,,-20,1,2,0,1.301029996,-1.301029996,#NUM!
S3,3,,-20,-1,1,-4,1.301029996,-1.301029996,0.602059991
S3,3,,-20,1,2,-13,1.301029996,-1.301029996,1.113943352
S3,4,,-20,-1,1,1,1.301029996,-1.301029996,0
S3,4,,-20,1,2,-16,1.301029996,-1.301029996,1.204119983
S3,5,,-20,-1,1,3,1.301029996,-1.301029996,0.477121255
S3,5,,-20,1,2,2,1.301029996,-1.301029996,0.301029996
S3,6,,-20,-1,1,-14,1.301029996,-1.301029996,1.146128036
S3,6,,-20,1,2,-4,1.301029996,-1.301029996,0.602059991
S3,7,,-20,-1,1,3,1.301029996,-1.301029996,0.477121255
S3,7,,-20,1,2,-2,1.301029996,-1.301029996,0.301029996
S3,8,,-20,-1,1,-8,1.301029996,-1.301029996,0.903089987
S3,8,,-20,1,2,-3,1.301029996,-1.301029996,0.477121255
S3,9,,-20,-1,1,-8,1.301029996,-1.301029996,0.903089987
S3,9,,-20,1,2,3,1.301029996,-1.301029996,0.477121255
S3,10,,-20,-1,1,-11,1.301029996,-1.301029996,1.041392685
S3,10,,-20,1,2,-7,1.301029996,-1.301029996,0.84509804
S3,11,,-20,-1,1,-8,1.301029996,-1.301029996,0.903089987
S3,11,,-20,1,2,2,1.301029996,-1.301029996,0.301029996
S3,12,,-20,-1,1,-6,1.301029996,-1.301029996,0.77815125
S3,12,,-20,1,2,-3,1.301029996,-1.301029996,0.477121255
S3,1,,-10,-1,1,-7,1,-1,0.84509804
S3,1,,-10,1,2,-11,1,-1,1.041392685
S3,2,,-10,-1,1,6,1,-1,0.77815125
S3,2,,-10,1,2,-2,1,-1,0.301029996
S3,3,,-10,-1,1,-6,1,-1,0.77815125
S3,3,,-10,1,2,-13,1,-1,1.113943352
S3,4,,-10,-1,1,2,1,-1,0.301029996
S3,4,,-10,1,2,-6,1,-1,0.77815125
S3,5,,-10,-1,1,3,1,-1,0.477121255
S3,5,,-10,1,2,9,1,-1,0.954242509
S3,6,,-10,-1,1,0,1,-1,#NUM!
S3,6,,-10,1,2,-7,1,-1,0.84509804
S3,7,,-10,-1,1,-8,1,-1,0.903089987
S3,7,,-10,1,2,-9,1,-1,0.954242509
S3,8,,-10,-1,1,0,1,-1,#NUM!
S3,8,,-10,1,2,2,1,-1,0.301029996
S3,9,,-10,-1,1,-7,1,-1,0.84509804
S3,9,,-10,1,2,-9,1,-1,0.954242509
S3,10,,-10,-1,1,-13,1,-1,1.113943352
S3,10,,-10,1,2,-5,1,-1,0.698970004
S3,11,,-10,-1,1,-14,1,-1,1.146128036
S3,11,,-10,1,2,-9,1,-1,0.954242509
S3,12,,-10,-1,1,-14,1,-1,1.146128036
S3,12,,-10,1,2,6,1,-1,0.77815125
S3,1,,0,-1,1,13,#NUM!,,1.113943352
S3,1,,0,1,2,6,#NUM!,,0.77815125
S3,2,,0,-1,1,-5,#NUM!,,0.698970004
S3,2,,0,1,2,0,#NUM!,,#NUM!
S3,3,,0,-1,1,-9,#NUM!,,0.954242509
S3,3,,0,1,2,4,#NUM!,,0.602059991
S3,4,,0,-1,1,-2,#NUM!,,0.301029996
S3,4,,0,1,2,-7,#NUM!,,0.84509804
S3,5,,0,-1,1,11,#NUM!,,1.041392685
S3,5,,0,1,2,6,#NUM!,,0.77815125
S3,6,,0,-1,1,-5,#NUM!,,0.698970004
S3,6,,0,1,2,3,#NUM!,,0.477121255
S3,7,,0,-1,1,2,#NUM!,,0.301029996
S3,7,,0,1,2,-3,#NUM!,,0.477121255
S3,8,,0,-1,1,2,#NUM!,,0.301029996
S3,8,,0,1,2,-4,#NUM!,,0.602059991
S3,9,,0,-1,1,-2,#NUM!,,0.301029996
S3,9,,0,1,2,-2,#NUM!,,0.301029996
S3,10,,0,-1,1,-8,#NUM!,,0.903089987
S3,10,,0,1,2,-7,#NUM!,,0.84509804
S3,11,,0,-1,1,3,#NUM!,,0.477121255
S3,11,,0,1,2,-8,#NUM!,,0.903089987
S3,12,,0,-1,1,1,#NUM!,,0
S3,12,,0,1,2,3,#NUM!,,0.477121255
S3,1,,10,-1,1,3,1,1,0.477121255
S3,1,,10,1,2,6,1,1,0.77815125
S3,2,,10,-1,1,-2,1,1,0.301029996
S3,2,,10,1,2,-1,1,1,0
S3,3,,10,-1,1,-7,1,1,0.84509804
S3,3,,10,1,2,-8,1,1,0.903089987
S3,4,,10,-1,1,-7,1,1,0.84509804
S3,4,,10,1,2,4,1,1,0.602059991
S3,5,,10,-1,1,15,1,1,1.176091259
S3,5,,10,1,2,8,1,1,0.903089987
S3,6,,10,-1,1,-4,1,1,0.602059991
S3,6,,10,1,2,14,1,1,1.146128036
S3,7,,10,-1,1,1,1,1,0
S3,7,,10,1,2,-2,1,1,0.301029996
S3,8,,10,-1,1,3,1,1,0.477121255
S3,8,,10,1,2,-6,1,1,0.77815125
S3,9,,10,-1,1,2,1,1,0.301029996
S3,9,,10,1,2,4,1,1,0.602059991
S3,10,,10,-1,1,-2,1,1,0.301029996
S3,10,,10,1,2,3,1,1,0.477121255
S3,11,,10,-1,1,-9,1,1,0.954242509
S3,11,,10,1,2,6,1,1,0.77815125
S3,12,,10,-1,1,-3,1,1,0.477121255
S3,12,,10,1,2,2,1,1,0.301029996
S3,1,,20,-1,1,3,1.301029996,1.301029996,0.477121255
S3,1,,20,1,2,15,1.301029996,1.301029996,1.176091259
S3,2,,20,-1,1,3,1.301029996,1.301029996,0.477121255
S3,2,,20,1,2,4,1.301029996,1.301029996,0.602059991
S3,3,,20,-1,1,11,1.301029996,1.301029996,1.041392685
S3,3,,20,1,2,-3,1.301029996,1.301029996,0.477121255
S3,4,,20,-1,1,4,1.301029996,1.301029996,0.602059991
S3,4,,20,1,2,-5,1.301029996,1.301029996,0.698970004
S3,5,,20,-1,1,2,1.301029996,1.301029996,0.301029996
S3,5,,20,1,2,4,1.301029996,1.301029996,0.602059991
S3,6,,20,-1,1,-8,1.301029996,1.301029996,0.903089987
S3,6,,20,1,2,1,1.301029996,1.301029996,0
S3,7,,20,-1,1,12,1.301029996,1.301029996,1.079181246
S3,7,,20,1,2,-8,1.301029996,1.301029996,0.903089987
S3,8,,20,-1,1,-4,1.301029996,1.301029996,0.602059991
S3,8,,20,1,2,-6,1.301029996,1.301029996,0.77815125
S3,9,,20,-1,1,3,1.301029996,1.301029996,0.477121255
S3,9,,20,1,2,6,1.301029996,1.301029996,0.77815125
S3,10,,20,-1,1,6,1.301029996,1.301029996,0.77815125
S3,10,,20,1,2,4,1.301029996,1.301029996,0.602059991
S3,11,,20,-1,1,3,1.301029996,1.301029996,0.477121255
S3,11,,20,1,2,-5,1.301029996,1.301029996,0.698970004
S3,12,,20,-1,1,-3,1.301029996,1.301029996,0.477121255
S3,12,,20,1,2,14,1.301029996,1.301029996,1.146128036
S3,1,,30,-1,1,-2,1.477121255,1.477121255,0.301029996
S3,1,,30,1,2,4,1.477121255,1.477121255,0.602059991
S3,2,,30,-1,1,3,1.477121255,1.477121255,0.477121255
S3,2,,30,1,2,7,1.477121255,1.477121255,0.84509804
S3,3,,30,-1,1,5,1.477121255,1.477121255,0.698970004
S3,3,,30,1,2,5,1.477121255,1.477121255,0.698970004
S3,4,,30,-1,1,7,1.477121255,1.477121255,0.84509804
S3,4,,30,1,2,5,1.477121255,1.477121255,0.698970004
S3,5,,30,-1,1,4,1.477121255,1.477121255,0.602059991
S3,5,,30,1,2,6,1.477121255,1.477121255,0.77815125
S3,6,,30,-1,1,-2,1.477121255,1.477121255,0.301029996
S3,6,,30,1,2,5,1.477121255,1.477121255,0.698970004
S3,7,,30,-1,1,7,1.477121255,1.477121255,0.84509804
S3,7,,30,1,2,7,1.477121255,1.477121255,0.84509804
S3,8,,30,-1,1,8,1.477121255,1.477121255,0.903089987
S3,8,,30,1,2,-5,1.477121255,1.477121255,0.698970004
S3,9,,30,-1,1,9,1.477121255,1.477121255,0.954242509
S3,9,,30,1,2,5,1.477121255,1.477121255,0.698970004
S3,10,,30,-1,1,6,1.477121255,1.477121255,0.77815125
S3,10,,30,1,2,4,1.477121255,1.477121255,0.602059991
S3,11,,30,-1,1,-15,1.477121255,1.477121255,1.176091259
S3,11,,30,1,2,6,1.477121255,1.477121255,0.77815125
S3,12,,30,-1,1,6,1.477121255,1.477121255,0.77815125
S3,12,,30,1,2,5,1.477121255,1.477121255,0.698970004
S3,1,,40,-1,1,0,1.602059991,1.602059991,0
S3,1,,40,1,2,6,1.602059991,1.602059991,0.77815125
S3,2,,40,-1,1,9,1.602059991,1.602059991,0.954242509
S3,2,,40,1,2,6,1.602059991,1.602059991,0.77815125
S3,3,,40,-1,1,-9,1.602059991,1.602059991,0.954242509
S3,3,,40,1,2,10,1.602059991,1.602059991,1
S3,4,,40,-1,1,6,1.602059991,1.602059991,0.77815125
S3,4,,40,1,2,13,1.602059991,1.602059991,1.113943352
S3,5,,40,-1,1,-2,1.602059991,1.602059991,0.301029996
S3,5,,40,1,2,9,1.602059991,1.602059991,0.954242509
S3,6,,40,-1,1,1,1.602059991,1.602059991,0
S3,6,,40,1,2,14,1.602059991,1.602059991,1.146128036
S3,7,,40,-1,1,17,1.602059991,1.602059991,1.230448921
S3,7,,40,1,2,5,1.602059991,1.602059991,0.698970004
S3,8,,40,-1,1,20,1.602059991,1.602059991,1.301029996
S3,8,,40,1,2,-2,1.602059991,1.602059991,0.301029996
S3,9,,40,-1,1,-9,1.602059991,1.602059991,0.954242509
S3,9,,40,1,2,12,1.602059991,1.602059991,1.079181246
S3,10,,40,-1,1,8,1.602059991,1.602059991,0.903089987
S3,10,,40,1,2,2,1.602059991,1.602059991,0.301029996
S3,11,,40,-1,1,-5,1.602059991,1.602059991,0.698970004
S3,11,,40,1,2,13,1.602059991,1.602059991,1.113943352
S3,12,,40,-1,1,-8,1.602059991,1.602059991,0.903089987
S3,12,,40,1,2,13,1.602059991,1.602059991,1.113943352
S3,1,,50,-1,1,1,1.698970004,1.698970004,0
S3,1,,50,1,2,-11,1.698970004,1.698970004,1.041392685
S3,2,,50,-1,1,14,1.698970004,1.698970004,1.146128036
S3,2,,50,1,2,-7,1.698970004,1.698970004,0.84509804
S3,3,,50,-1,1,-5,1.698970004,1.698970004,0.698970004
S3,3,,50,1,2,-20,1.698970004,1.698970004,1.301029996
S3,4,,50,-1,1,4,1.698970004,1.698970004,0.602059991
S3,4,,50,1,2,20,1.698970004,1.698970004,1.301029996
S3,5,,50,-1,1,8,1.698970004,1.698970004,0.903089987
S3,5,,50,1,2,-4,1.698970004,1.698970004,0.602059991
S3,6,,50,-1,1,28,1.698970004,1.698970004,1.447158031
S3,6,,50,1,2,11,1.698970004,1.698970004,1.041392685
S3,7,,50,-1,1,-1,1.698970004,1.698970004,0
S3,7,,50,1,2,-4,1.698970004,1.698970004,0.602059991
S3,8,,50,-1,1,-3,1.698970004,1.698970004,0.477121255
S3,8,,50,1,2,2,1.698970004,1.698970004,0.301029996
S3,9,,50,-1,1,14,1.698970004,1.698970004,1.146128036
S3,9,,50,1,2,-12,1.698970004,1.698970004,1.079181246
S3,10,,50,-1,1,29,1.698970004,1.698970004,1.462397998
S3,10,,50,1,2,2,1.698970004,1.698970004,0.301029996
S3,11,,50,-1,1,17,1.698970004,1.698970004,1.230448921
S3,11,,50,1,2,21,1.698970004,1.698970004,1.322219295
S3,12,,50,-1,1,7,1.698970004,1.698970004,0.84509804
S3,12,,50,1,2,-8,1.698970004,1.698970004,0.903089987
S3,1,,60,-1,1,6,1.77815125,1.77815125,0.77815125
